========================================================================================================================
                                                PROJECT SCRUM LOG
========================================================================================================================
PROJECT: SMART AGRICULTURE SUPPORT SYSTEM
DEVELOPER: NAHAN NAZER
START DATE: 11/10/2025
========================================================================================================================

| TASK DESCRIPTION                               | PENDING | HOURS | EXP DATE   | ACT DATE   | REASON FOR DELAY |
|------------------------------------------------|---------|-------|------------|------------|------------------|
| System Analysis & Requirement Gathering        | NIL     | 2 HRS | 11/10/2025 | 11/10/2025 | NIL              |
| Database Schema Design (Users, Crops, Issues)  | NIL     | 3 HRS | 11/10/2025 | 11/10/2025 | NIL              |
| Authentication Module (Login/Register/Roles)   | NIL     | 3 HRS | 11/10/2025 | 11/10/2025 | NIL              |
| Basic Chat Architecture Setup (Backend)        | NIL     | 2 HRS | 11/10/2025 | 11/10/2025 | NIL              |
|------------------------------------------------|---------|-------|------------|------------|------------------|
| Chat System Implementation (AJAX Polling UI)   | NIL     | 3 HRS | 12/10/2025 | 12/10/2025 | NIL              |
| Image Functionality Integration (Upload/View)  | NIL     | 2 HRS | 12/10/2025 | 12/10/2025 | NIL              |
| Portal Restructuring (Landing Page & Roles)    | NIL     | 3 HRS | 12/10/2025 | 12/10/2025 | NIL              |
| Admin Dashboard Statistics Debugging & Fixes   | NIL     | 2 HRS | 12/10/2025 | 12/10/2025 | NIL              |
| Final Integration Testing & Git Deployment     | NIL     | 1 HR  | 12/10/2025 | 12/10/2025 | NIL              |
|------------------------------------------------|---------|-------|------------|------------|------------------|
| ML Disease Prediction Model (Leaf Dataset)     | NIL     | 4 HRS | 13/10/2025 | 13/10/2025 | NIL              |
| Data Preprocessing & Augmentation (Disease)    | NIL     | 3 HRS | 13/10/2025 | 13/10/2025 | NIL              |
| CNN Model Architecture Setup (TensorFlow)      | NIL     | 2 HRS | 13/10/2025 | 13/10/2025 | NIL              |
|------------------------------------------------|---------|-------|------------|------------|------------------|
| Yield Prediction Model Development             | NIL     | 4 HRS | 14/10/2025 | 14/10/2025 | NIL              |
| Environmental Data Integration (Weather/Soil)  | NIL     | 3 HRS | 14/10/2025 | 14/10/2025 | NIL              |
| Model Training & Hyperparameter Tuning         | NIL     | 2 HRS | 14/10/2025 | 14/10/2025 | NIL              |
| Model Serialization (.pkl) & Backend Linking   | NIL     | 1 HR  | 14/10/2025 | 14/10/2025 | NIL              |
|------------------------------------------------|---------|-------|------------|------------|------------------|
| Security Hardening (CSRF/XSS Protection)       | NIL     | 3 HRS | 15/10/2025 | 15/10/2025 | NIL              |
| Database Query Optimization & Indexing         | NIL     | 2 HRS | 15/10/2025 | 15/10/2025 | NIL              |
| Mobile Responsiveness & UI/UX Polish           | NIL     | 3 HRS | 15/10/2025 | 15/10/2025 | NIL              |
|------------------------------------------------|---------|-------|------------|------------|------------------|
| Codebase Refactoring & Organization          | NIL     | 3 HRS | 16/10/2025 | 16/10/2025 | NIL              |
| UI/UX Enhancements (Icons, Layouts)            | NIL     | 2 HRS | 16/10/2025 | 16/10/2025 | NIL              |
| Local Reporting & PDF Generation Fixes         | NIL     | 2 HRS | 16/10/2025 | 16/10/2025 | NIL              |
|------------------------------------------------|---------|-------|------------|------------|------------------|

========================================================================================================================
                                                END OF LOG
========================================================================================================================
